target_uniprot_id	compound_bindingdb_id	pKi
P21397	101255	0
P21397	101259	0
P21397	101260	0
P21397	101261	0
P21397	101264	0
P21397	101269	0
P21397	101270	0
P21397	101271	0
P21397	101272	0
P21397	101273	0
P21397	101275	0
P21397	101277	0
P21397	101278	0
P21397	101279	0
P21397	101280	0
P21397	101281	0
P21397	101283	0
P21397	101284	0
P21397	101285	0
P21397	101288	0
P21397	101289	0
P21397	101290	0
P21397	101291	0
P21397	101292	0
P21397	101293	0
P21397	101295	0
P21397	101297	0
P21397	101298	0
P21397	101300	0
P21397	101301	0
P21397	101302	0
P21397	101303	0
P21397	101304	0
P21397	108061	0
P21397	108062	0
P21397	108063	0
P21397	108064	0
P21397	50105417	0
P21397	113742	0
P21397	123814	0
P21397	123815	0
P21397	123816	0
P21397	123817	0
P21397	123818	0
P21397	123819	0
P21397	123820	0
P21397	123821	0
P21397	123822	0
P21397	123823	0
P21397	123824	0
P21397	123825	0
P21397	123826	0
P21397	123827	0
P21397	123828	0
P21397	123829	0
P21397	123830	0
P21397	123831	0
P21397	123832	0
P21397	123833	0
P21397	50346586	0
P21397	50346863	0
P21397	124968	0
P21397	124969	0
P21397	50346864	0
P21397	124966	0
P21397	50028962	0
P21397	150756	0
P21397	150757	0
P21397	150758	0
P21397	50431165	0
P21397	50011446	0
P21397	150759	0
P21397	150760	0
P21397	50310189	0
P21397	50420209	0
P21397	50310190	0
P21397	50011421	0
P21397	150761	0
P21397	150762	0
P21397	150763	0
P21397	150764	0
P21397	150765	0
P21397	150766	0
P21397	150767	0
P21397	15579	0
P21397	15613	1
P21397	152633	0
P21397	152634	0
P21397	152635	0
P21397	152636	0
P21397	152637	0
P21397	179853	0
P21397	179855	0
P21397	179860	0
P21397	179861	0
P21397	179862	0
P21397	179865	0
P21397	179905	0
P21397	179935	0
P21397	179944	0
P21397	179973	0
P21397	179976	1
P21397	261741	0
P21397	261742	0
P21397	261743	0
P21397	261744	0
P21397	261745	0
P21397	261746	0
P21397	261747	0
P21397	261748	0
P21397	339410	0
P21397	339411	0
P21397	339412	0
P21397	339413	0
P21397	339414	0
P21397	339415	0
P21397	339417	0
P21397	339418	0
P21397	339419	0
P21397	339420	0
P21397	339421	0
P21397	339422	0
P21397	339423	0
P21397	339424	0
P21397	339425	0
P21397	339426	0
P21397	339427	0
P21397	356625	0
P21397	356626	0
P21397	50009741	1
P21397	50014636	0
P21397	50014645	0
P21397	50014640	0
P21397	50453314	0
P21397	50350641	0
P21397	50014648	0
P21397	50017491	1
P21397	50138433	0
P21397	50138432	1
P21397	50019848	1
P21397	50138434	1
P21397	50138435	1
P21397	50138436	1
P21397	50048540	1
P21397	50048541	1
P21397	50048542	1
P21397	50048543	1
P21397	50048544	1
P21397	50048545	1
P21397	50048546	0
P21397	50048547	0
P21397	50048548	0
P21397	50048549	1
P21397	50048550	1
P21397	50048551	0
P21397	50048552	1
P21397	50048553	1
P21397	50048554	1
P21397	50048555	1
P21397	50048556	0
P21397	50048562	1
P21397	50048570	1
P21397	50048596	1
P21397	50048598	1
P21397	50048603	1
P21397	50048606	1
P21397	50048613	1
P21397	50048614	1
P21397	50048615	1
P21397	50048616	1
P21397	50159370	0
P21397	50159372	0
P21397	50159374	0
P21397	50159375	0
P21397	50159377	0
P21397	50159378	0
P21397	50159380	0
P21397	50159379	0
P21397	50159382	0
P21397	50159385	0
P21397	50159386	0
P21397	50159388	0
P21397	50063522	1
P21397	50213678	1
P21397	50213675	1
P21397	50213676	1
P21397	50213677	1
P21397	50220013	0
P21397	50220014	0
P21397	50220018	0
P21397	50220020	0
P21397	50220021	0
P21397	50220022	0
P21397	50220028	0
P21397	50220029	0
P21397	50220031	0
P21397	50220032	0
P21397	50220033	0
P21397	50220019	0
P21397	50220035	0
P21397	50220036	0
P21397	50220034	0
P21397	50220037	0
P21397	50220038	0
P21397	50220039	0
P21397	50220015	0
P21397	50226480	0
P21397	50226481	0
P21397	50226484	0
P21397	50226482	0
P21397	50226479	0
P21397	50226485	0
P21397	50116067	0
P21397	50261815	0
P21397	50246766	0
P21397	50113840	0
P21397	50259619	1
P21397	50259620	0
P21397	50259621	0
P21397	50258885	0
P21397	50145630	1
P21397	50156284	0
P21397	50156285	0
P21397	50156286	0
P21397	50156287	1
P21397	50156288	1
P21397	50156289	1
P21397	50156290	0
P21397	50156291	0
P21397	50156292	0
P21397	50156283	0
P21397	50140172	0
P21397	50292299	1
P21397	50292300	0
P21397	50292301	0
P21397	50292302	0
P21397	100152	1
P21397	50306696	0
P21397	50306697	1
P21397	50306698	1
P21397	50306699	1
P21397	50306700	1
P21397	50306701	1
P21397	50306702	1
P21397	50008984	0
P21397	50326842	0
P21397	50326843	0
P21397	50326844	0
P21397	50326845	0
P21397	50326846	0
P21397	50326847	0
P21397	50326848	0
P21397	50326849	0
P21397	50326850	0
P21397	50326851	0
P21397	50326852	0
P21397	50326853	0
P21397	50026628	0
P21397	50225448	0
P21397	50333414	1
P21397	50333415	1
P21397	50333416	1
P21397	50333417	1
P21397	50333418	1
P21397	50333419	1
P21397	50333420	1
P21397	50333421	1
P21397	50333422	0
P21397	50333423	1
P21397	50333424	1
P21397	50333425	1
P21397	50333426	0
P21397	50333427	0
P21397	50333428	1
P21397	50334282	0
P21397	50334273	0
P21397	50334274	0
P21397	50334275	0
P21397	50334276	0
P21397	50334283	0
P21397	50334279	0
P21397	50334280	0
P21397	50334281	0
P21397	50334284	0
P21397	50334285	0
P21397	50334286	0
P21397	50334287	0
P21397	50334288	0
P21397	50334289	0
P21397	50334290	1
P21397	50334291	0
P21397	50334292	0
P21397	50334293	0
P21397	50341152	1
P21397	50341153	1
P21397	50341154	1
P21397	50341155	1
P21397	50341156	1
P21397	50341157	1
P21397	50341158	1
P21397	50341159	1
P21397	50341160	1
P21397	50341161	1
P21397	50347288	1
P21397	50347289	1
P21397	50347290	1
P21397	50347291	1
P21397	50347292	1
P21397	50347293	1
P21397	50347294	1
P21397	50347295	1
P21397	50347296	1
P21397	50347297	0
P21397	50347298	1
P21397	50347299	0
P21397	50347300	0
P21397	50347301	0
P21397	50347302	1
P21397	50249871	1
P21397	50347303	1
P21397	50312369	0
P21397	50347304	1
P21397	50347305	1
P21397	50347307	0
P21397	50347306	1
P21397	50348831	0
P21397	50348832	0
P21397	50348833	0
P21397	50348834	1
P21397	50348835	1
P21397	50348836	0
P21397	50348837	0
P21397	50348838	0
P21397	50348839	0
P21397	50348840	0
P21397	50348841	0
P21397	50348842	0
P21397	50348843	0
P21397	50348844	0
P21397	50350640	0
P21397	50350642	0
P21397	50350643	1
P21397	50350635	0
P21397	50350636	1
P21397	50350637	1
P21397	50350638	1
P21397	50350639	1
P21397	67454	1
P21397	50233263	0
P21397	50036514	0
P21397	24776	0
P21397	50359639	0
P21397	24778	0
P21397	50361478	0
P21397	50236898	0
P21397	50361479	0
P21397	50346534	0
P21397	50346862	0
P21397	50346585	0
P21397	50361481	0
P21397	50361739	0
P21397	50109389	0
P21397	50361740	0
P21397	50361748	0
P21397	50367917	0
P21397	50014633	0
P21397	50014634	0
P21397	13016	0
P21397	50014637	0
P21397	50014639	0
P21397	50014638	0
P21397	50014641	0
P21397	50014642	0
P21397	50014643	0
P21397	50014646	0
P21397	50014647	0
P21397	50014649	0
P21397	50014650	0
P21397	50014651	0
P21397	50367918	0
P21397	50014654	0
P21397	50014652	0
P21397	50014655	0
P21397	50014656	0
P21397	50014657	0
P21397	50014644	0
P21397	50014662	0
P21397	50014660	0
P21397	50014661	0
P21397	50014664	0
P21397	50292163	1
P21397	50292171	1
P21397	50307367	0
P21397	50307366	0
P21397	50307364	0
P21397	50307370	0
P21397	50307368	0
P21397	50307365	0
P21397	50307371	0
P21397	28681	0
P21397	50085045	0
P21397	50273485	0
P21397	50273488	0
P21397	50273489	0
P21397	50273490	0
P21397	50273491	0
P21397	50273527	0
P21397	50273529	0
P21397	50273530	0
P21397	50273531	0
P21397	50273532	0
P21397	50273562	0
P21397	50273563	0
P21397	50273564	0
P21397	50273565	0
P21397	50273566	0
P21397	50273590	0
P21397	50087789	0
P21397	50273592	0
P21397	50273593	0
P21397	50273594	0
