target_uniprot_id	compound_bindingdb_id	pEC50
P10275	50296945	8.699
P10275	50296946	8.097
P10275	50296947	8.301
P10275	50403728	9
P10275	50403729	8.155
P10275	50076696	7.585
P10275	50076720	8.523
P10275	50076700	7.229
P10275	50077108	7.167
P10275	50077099	8
P10275	50336997	10
P10275	50360443	5.658
P10275	50366207	5.959
P10275	50077096	8.699
P10275	50077101	6.863
P10275	50407398	4.768
P10275	50425732	6.575
P10275	50240230	4.551
P10275	50240229	4.897
P10275	50006990	5.022
P10275	50242300	9
P10275	50242302	6.658
P10275	50238125	9.721
P10275	50238127	9.538
P10275	50242306	6
P10275	50242307	6.824
P10275	50242308	8.222
P10275	50242309	8.097
P10275	50242312	7.921
P10275	50242313	6.77
P10275	50242310	5
P10275	50242305	6.092
P10275	50242297	8.328
P10275	50242298	7.62
P10275	50242299	7.638
P10275	50242301	8.444
P10275	50242303	9.409
P10275	50242304	7.523
P10275	50373224	6.62
P10275	50373225	7.222
P10275	50373227	7.013
P10275	50373228	7.796
P10275	50373229	7.699
P10275	50373230	6.735
P10275	50373231	6.514
P10275	50373232	7.921
P10275	50373233	7.301
P10275	50373234	7.745
P10275	50373235	7.367
P10275	50373236	8.959
P10275	50373226	7.959
P10275	50373237	7.046
P10275	50373238	6.682
P10275	50373239	7.638
P10275	50373240	7.678
P10275	50377409	7.959
P10275	50377410	7.803
P10275	50377411	8.699
P10275	50377412	7.444
P10275	50377413	7.721
P10275	50377414	8.276
P10275	50377415	7.638
P10275	50377416	7.638
P10275	50377417	8.886
P10275	50377418	7.456
P10275	50377419	8.42
P10275	50377420	7.523
P10275	50377421	7.553
P10275	50377422	8.377
P10275	50377423	8.495
P10275	50377424	7.114
P10275	50377425	8.699
P10275	50377426	8.18
P10275	50415086	9.6
P10275	8885	8.5
P10275	50415088	8.801
P10275	18627	8
P10275	50067678	8.215
P10275	17638	9.854
P10275	50427619	9.854
P10275	50427620	9.824
P10275	50427621	10
P10275	50428559	5.328
P10275	18692	6.681
P00374	18245	6.721
P00374	18246	7.167
P00374	18050	7.89
P04150	18207	8.527
P04150	18615	9.523
P04150	18616	9.699
P04150	18617	9.699
P04150	18618	8.796
P04150	18619	9.301
P04150	18620	9.699
P04150	18621	9.222
P04150	18622	8.301
P04150	18623	10
P04150	18624	9.06
P04150	18625	8.854
P04150	18626	9.301
P04150	18627	8.075
P04150	18628	9.523
P04150	18629	9.699
P04150	18630	8.854
P04150	18631	9.398
P04150	18632	8.886
P04150	18633	9.222
P04150	19190	7.858
P04150	19191	8.538
P04150	19192	8.013
P04150	19193	8.569
P04150	19194	7.266
P04150	19195	7.71
P04150	19196	8.721
P04150	19197	7.504
P04150	19198	7.991
P04150	19199	7.322
P04150	19200	7.796
P04150	19201	8.186
P04150	19202	8.381
P04150	19203	7.845
P04150	19204	8.523
P04150	19206	8.032
P04150	19207	8.357
P04150	19208	8.066
P04150	19209	7.857
P04150	19210	7.663
P04150	19211	7.943
P04150	19212	7.616
P04150	19216	8.222
P04150	19217	9
P04150	19218	7.678
P04150	19219	8.678
P04150	19220	7.721
P04150	19223	8.078
P04150	19224	7.631
P04150	19225	8.301
P04150	19226	8
P04150	19229	7.319
P04150	19230	7.481
P04150	19231	8.523
