target_uniprot_id	compound_bindingdb_id	pEC50
P04150	50411477	1
P04150	50411489	1
P04150	50411479	1
P04150	50411480	1
P04150	50411475	1
P04150	50411481	1
P04150	50411485	1
P04150	50411488	1
P04150	50411487	1
P04150	50411483	1
P04150	50411491	1
P04150	50412519	1
P04150	50412605	1
P04150	50254464	1
P04150	50412606	1
P04150	50254465	1
P04150	50254466	1
P04150	50254513	1
P04150	50412607	1
P04150	50412608	1
P04150	50412609	1
P04150	50412611	1
P04150	50412612	1
P04150	50412613	0
P04150	50254679	1
P04150	50412614	1
P04150	50254760	1
P04150	50254759	1
P04150	50412616	1
P04150	50254723	1
P04150	50416103	1
P04150	50416105	1
P04150	50416076	1
P04150	50416078	1
P04150	50416100	1
P04150	50416075	1
P04150	50416102	1
P04150	50416106	1
P04150	50416077	1
P04150	50416101	1
P04150	50416868	1
P04150	50416873	1
P04150	50416869	1
P04150	50201099	1
P04150	50417026	1
P04150	50417605	0
P04150	50417610	1
P04150	50417609	1
P04150	50417606	1
P04150	50417615	1
P04150	50417616	1
P04150	50417608	1
P04150	50417613	1
P04150	50417611	1
P04150	50417617	1
P04150	50417607	1
P04150	50417614	1
P04150	50417612	1
P04150	50424082	0
P04150	50424083	0
P04150	50424084	0
P04150	50424085	0
P04150	50424086	0
P04150	50424090	0
P04150	50424091	1
P04150	50424092	0
P04150	50424094	0
P04150	50424095	1
P04150	50424096	0
P04150	50440099	1
P04150	50440100	1
P04150	50440101	1
P04150	50440097	1
P04150	50440102	1
P04150	50440104	1
P04150	50440105	1
P04150	50440106	1
P04150	50440098	1
P04150	50440107	1
P04150	50440109	1
P04150	50440110	1
P04150	50440111	0
P04150	50440113	1
P04150	50440096	1
P04150	50440103	1
P04150	50440108	1
P04150	50440112	1
P04150	50440114	1
P04150	50440115	0
P04150	50440207	1
P04150	50440208	0
P04150	50440209	1
P04150	50440210	1
P04150	50440211	1
P04150	50440213	1
P04150	50440214	1
P04150	50440215	1
P04150	50440216	1
P04150	50440217	1
P04150	50440218	1
P04150	50440219	1
